SubjectID,CRT_Score,True statement,TrueStatementID,IQE1,IQE2,IQE3,IQI1,IQI2,IQI3,IQU1,IQU2,IQU3,IQE_avg,IQI_avg,IQU_avg,False Difficult,False Easy,True_fleshes,difficult_fleshes,easy_fleshes,True_smog_index,difficult_smog_index,easy_smog_index,True_flesch_kincaid_grade,difficult_flesch_kincaid_grade,easy_flesch_kincaid_grade,True_coleman_liau_index,difficult_coleman_liau_index,easy_coleman_liau_index,True_automated_readability_index,difficult_automated_readability_index,easy_automated_readability_index,True_dale_chall_readability_score,difficult_dale_chall_readability_score,easy_dale_chall_readability_score,True_difficult_words,difficult_difficult_words,easy_difficult_words,True_linsear_write_formula,difficult_linsear_write_formula,easy_.linsear_write_formula,True_difficult_words,difficult_difficult_words,easy_difficult_words,True_gunning_fog,difficult_gunning_fog,easy_gunning_fog,True_text_standard,difficult_text_standard,easy_text_standard,Potential_Drop
R_1l495aVZStFWvp9,1,"COVID-19 patients with recurrent epileptic seizures had more underlying neurological diseases than patients who had an epilepsy history but without a seizure. Patients with new-onset and recurrent epileptic seizures suffered more severe/critical COVID-19, which may lead to a worse prognosis.",1019,3,3,3,3,3,3,3,3,3,3,3,3,"COVID-19 vacciNo Statement hereted patients with recurrent epileptic seizures had more underlying neurological diseases than patients who had an epilepsy history but without a seizure. Patients with new-onset and recurrent epileptic seizures suffered more severe/critical COVID-19, which may lead to a worse prognosis.","COVID-19 patients with recurrent epileptic seizures had more underlying neurological diseases than patients who had an epilepsy history but without a seizure. Patients with new-onset and recurrent epileptic seizures suffered more severe/critical  laugh, which may lead to a worse prognosis.",42.72,41.19,42.72,0,0,0,12.3,12.9,12.3,18.39,19.03,18.1,18.4,19.6,18,10.94,11.68,10.94,12,14,12,13.5,14.75,13.5,12,14,12,13,14.18,13,13,20,13,
R_1l495aVZStFWvp9,1,"While molecular testing has been the primary means of diagnosing acute COVID-19 infection, blood testing is gaining importance for diagnosing minor infections or supporting the diagnosis of difficulty breathing in cases where the pathogen is no longer detectable in the upper respiratory tract.",1020,3,3,3,3,3,3,3,3,3,3,3,3,"While molecular testing has been the primary means of diagnosing acute COVID-19 infection, blood testing is gaining importance for diagnosing major infections or supporting the diagnosis of difficulty breathing in cases where the pathogen is no longer detectable in the upper respiratory tract.","While molecular testing has been the primary means of diagnosing acute COVID-19 infection, testicular testing is gaining importance for diagnosing minor infections or supporting the diagnosis of difficulty breathing in cases where the pathogen is no longer detectable in the upper respiratory tract.",10.91,10.91,2.45,0,0,0,22.4,22.4,23.6,17.19,17.19,17.89,27.7,27.7,28.2,13.85,13.48,14.22,16,15,17,32.5,32.5,33.5,16,15,17,26.5,26.5,27.43,0,13,24,
R_1l495aVZStFWvp9,1,"150 patients were randomized to favipiravir or the control group. Median time to the cessation of viral shedding was 5 days versus 7 days, and median time to clinical cure was 3 days versus 5 days, for favipiravir and control, respectively. Adverse events were observed in 36% of favipiravir and 8% of control patients.",1031,2,3,4,3,2,3,2,3,4,3,2.666666667,3,"150 patients were randomized to be on favipiravir or in the control group. Median time to the cessation of viral shedding was 6 days versus 10 days, and median time to clinical cure was 4 days versus 6 days, for favipiravir and control, respectively. Adverse events were observed in 36% of favipiravir and 8% of control patients.","480 patients were randomized to be on favipiravir or in the control group. Median time to the cessation of viral shedding was 5 days versus 7 days, and median time to clinical cure was 3 days versus 5 days, for favipiravir and control, respectively. Adverse events were observed in 36% of favipiravir and 8% of control patients.",61.67,60.65,60.65,11.2,11.2,11.2,9.1,9.5,9.5,10.15,9.69,9.57,10.8,10.6,10.5,10.67,10.4,10.4,13,13,13,11,11.5,11.5,13,13,13,10.9,11.11,11.11,11,10,10,
R_1l495aVZStFWvp9,1,"A substantial number of infected healthcare workers were asymptomatic 28.9%, and 35.5% were admitted to hospital. The mean length of hospital stay was 8.1 days. 70.1% of confirmed cases had been vaccinated against seasonal influenza.",1074,3,3,3,3,3,3,3,3,3,3,3,3,"A substantial number of infected healthcare workers were asymptomatic (28.9%), and 35.5% were admitted to hospital. The mean length of hospital stay was 11 days. 70.1% of confirmed cases had been vacciNo Statement hereted against seasoNo Statement herel influenza.","A substantial number of infected healthcare workers were asymptomatic (28.9%), and 35.5% were admitted to hospital. The mean length of hospital stay was 8.1 days. 70.1% of confirmed cases had been vaccinated against seasonal rashes.",55.91,63.56,55.91,10.8,10.4,10.4,7.2,6.3,7.2,11.2,12.19,10.74,8.9,9.7,8.7,12.56,12.93,12.56,11,13,11,4.3,4.5,4.1,11,13,11,10.8,9.27,9.66,11,10,10,
R_1l495aVZStFWvp9,1,"Of all the patients, 9.1% required admission to the intensive care unit (ICU), of whom 83% died. The average length of ICU stay was 11 days. The observed mortality rates in blood groups A, B, AB and 0 were 86.4%, 93.3%, 80.0% and 70.8%, respectively, indicating similar death rates in all ABO blood types. When the Rh phenotype was taken into consideration, no significant changes in results were seen.",1160,3,4,5,3,3,4,2,3,4,4,3.333333333,3,"Of all the patients, 9.1% required admission to the intensive care unit (ICU), of whom 83% died. The average length of ICU stay was 11 days. The observed mortality rates in blood groups A, B, AB and 0 were 85.4%, 94.3%, 79.0% and 71.8%, respectively, indicating similar death rates in all ABO blood types. When the Rh phenotype was taken into consideration, no significant changes in results were seen.","Of all the patients, 9.1% required admission to the intensive care unit (ICU), of whom 83% died. The average length of ICU stay was 32 days. The observed mortality rates in blood groups A, B, AB and 0 were 86.4%, 93.3%, 80.0% and 70.8%, respectively, indicating similar death rates in all ABO blood types. When the Rh phenotype was taken into consideration, no significant changes in results were seen.",69.89,69.89,69.89,10,10,10,6,6,6,7.11,7.11,7.11,6.3,6.3,6.3,12.59,12.59,12.59,14,14,14,5.357142857,5.357142857,5.357142857,14,14,14,9.76,9.76,9.76,6,6,6,
R_1nQ8DUnSs5SgtDG,0.333333333,A 5-day course of ivermectin was found to be safe and effective in treating adult patients with mild COVID-19.,1006,4,2,4,4,4,4,4,4,4,3.333333333,4,4,you could possibly get rid of covid in 5 days dues ivermectin only if you have a mild case of covid19 and are only an adult,ivermectin can help adult with mid covid19,77.57,78.93,106.67,0,0,0,7.2,8.7,0.1,9.86,4.88,9.87,10.9,9.3,6.3,12.06,10.39,13.01,4,2,1,10.5,14,2.5,4,2,1,9.71,11.94,2.8,10,9,3,
R_1nQ8DUnSs5SgtDG,0.333333333,"We evaluated 298 persons and identified twelve positive cases. 75% of the positive cases were asymptomatic, while only 25% of positive cases reported symptoms that included fever, diarrhea, and cough. Our data confirm the importance of early identification of asymptomatic carriers.",1014,4,4,3,2,2,3,4,4,4,3.666666667,2.333333333,4,298 all have covid we have yet to figure out who is symptomatic or not but mostly everyone does not have symptoms,25% of people tested are showing symptoms of Covid19 while the others aren't but they still have covid,32.19,74.53,78.59,15,0,0,12.2,8.3,6.8,15.25,6.96,9.16,13.2,9.3,9.8,11.25,7.6,10.67,15,2,4,11.16666667,13,8,15,2,4,15.24,10.62,7.2,12,8,7,
R_2PBti6jAC6ntkMN,0.666666667,"While Test A failed to detect SARS-CoV-2 antibodies in 3784% of non-hospitalised patients, Test B detected antibodies in 79%. Test C detected antibodies in 95% of non-hospitalised patients. Antibody levels were initially low, increased over time, and increased as the disease got worse. ",1024,4,2,5,3,3,4,5,5,3,3.666666667,3.333333333,4.333333333,"While Test A failed to detect SARS-CoV-2 antibodies in 3784% of non-hospitalized patients, Test B detected antibodies in 79%. Test C detected antibodies in 95% of non-hospitalized patients. Antibody levels were initially low, increased over time, and increased as the disease got worse.","While Test A failed to detect SARS antibodies in non-hospitalized patients, Test B detected antibodies in most . Test C detected antibodies in 95% of non-hospitalized patients. Antibody levels were initially low, increased over time, and increased as the disease got worse.",48.5,48.5,40.65,13,13,13,10,10,11,13.27,13.27,13.68,12.6,12.6,12.1,12.06,12.06,10.48,10,10,10,10.16666667,10.16666667,9,10,10,10,10.37,10.37,10.36,13,13,11,
R_2PBti6jAC6ntkMN,0.666666667,"150 patients were randomized to favipiravir or the control group. Median time to the cessation of viral shedding was 5 days versus 7 days, and median time to clinical cure was 3 days versus 5 days, for favipiravir and control, respectively. Adverse events were observed in 36% of favipiravir and 8% of control patients.",1031,3,3,3,2,2,1,3,2,2,3,1.666666667,2.333333333,"150 patients were randomized to be on the favipiravir group. Median time to the cessation of viral shedding was 5 days versus 7 days, and median time to clinical cure was 3 days versus 5 days, for favipiravir and control, respectively. Adverse events were observed in 36% of favipiravir and 8% of control patients.","150 patients were randomized to be in the control group. Median time to the end of viral shedding was 5 days versus 7 days, and median time to clinical cure was 3 days versus 5 days, for control, respectively. Adverse events were observed in 36% of favipiravir and 8% of control patients.",61.67,61.67,70.84,11.2,11.2,10.5,9.1,9.1,7.7,10.15,9.63,7.94,10.8,10.3,8.7,10.67,10.67,10.57,13,13,12,11,11,10.33333333,13,13,12,10.9,10.9,10,11,11,11,
R_2PBti6jAC6ntkMN,0.666666667,"Close, frequent contact with patients and those exposed to patients with cough symptoms are associated with an increased risk of infection.",1080,3,1,4,3,3,2,3,2,3,2.666666667,2.666666667,2.666666667,"Close, frequent contact with patients and those exposed to patients with cough symptoms are associated with a increased risk of infection",Frequent contact with patients and those exposed to patients with  symptoms are associated with many increased risk of infection,50.16,50.16,43.73,0,0,0,11.5,11.5,11.9,15.03,14.74,16.01,15.8,15.3,15.1,11.45,11.45,12.06,8,8,8,12.5,12.5,11.5,8,8,8,12.21,12.21,11.81,12,12,12,
R_2PBti6jAC6ntkMN,0.666666667,Weight gain was present in 87% and weight loss in 13% of patients hospitalized with COVID-19. Most patients present excess body weight according to body mass index. Covid-19 patients recovered their weight after hospitalization.,1154,3,3,4,4,4,4,4,5,4,3.333333333,4,4.333333333,Weight gain was present in 87% and weight loss in 13% of patients hospitalized with COVID-19. Most patients present excess body weight according to body mass index. Covid-19 patients recovered their weight after hospitalization.,Weight gain was present in most patients hospitalized with COVID-19. Most patients present excess body weight according to body mass index. Covid-19 patients recovered their weight after hospitalization.,68.47,68.47,62.04,9.7,9.7,9.7,6.5,6.5,6.9,13.61,13.61,16.38,11.3,11.3,12.9,10.23,10.23,10.3,7,7,7,6,6,5,7,7,7,9.23,9.23,9.43,10,10,10,
R_2PBti6jAC6ntkMN,0.666666667,"The COVID-19 epidemic could be controlled by alternating one or two weeks of complete lockdown with one or two months of freedom, respectively. Control strategies of this kind, where the lockdowns duration is well circumscribed, could be important also to alleviate coronavirus impact on economy.",1180,3,3,4,5,4,4,4,4,4,3.333333333,4.333333333,4,"The COVID-19 epidemic could be controlled by alterNo Statement hereting one or two weeks of complete lockdown with one or two months of freedom, respectively. Control strategies of this kind, where the lockdowns duration is well controlled, could be important also to alleviate coroNo Statement herevirus impact on economy.","The COVID-19 epidemic could be manipulated by alternating one or two weeks of complete lockdown with one or two months of freedom, respectively. Control strategies of this kind, where the lockdowns duration is well circumscribed, could be important also to eliminate coronavirus impact on economy.",40.18,46.61,40.18,0,0,0,13.2,12.8,13.2,14.74,14.86,14.86,16.3,17.3,16.4,11.42,11.62,11.42,14,15,14,15.75,15.75,16.25,14,15,14,16.11,14.7,17,16,15,17,
R_2pRnDAFCtzZ7iXB,0.333333333,"Observations so far suggest a mean incubation period of 5 days and median incubation period of 45 days from exposure to the onset of symptoms. Viral RNA is detectable in the airways 23 days before the onset of symptoms, peaks at the onset of symptoms, and decreases over the following 78 days in most patients.",1026,3,4,5,5,5,4,5,5,5,4,4.666666667,5,"Observations so far suggest a mean incubation period of 5 days and median incubation period of 45 days from exposure to the onset of symptoms. Viral RNo Statement here is detectable in the airways 23 days before the onset of symptoms, at the onset of symptoms, and increases over the following 78 days in most patients.","Observations so far suggest a mean incubation period of 5 days and median incubation period of 45 days from exposure to the onset of symptoms. Viral RNA is detectable in the airways 23 days before the onset of symptoms, peaks at the onset of symptoms, and increases over the following 78 days in most patients.",43.56,43.06,43.56,0,0,0,14,14.2,14,9.58,9.93,9.58,14.5,15,14.5,11.32,11.23,11.32,13,14,13,18.25,18.5,18.25,13,14,13,15.36,15.49,15.36,15,15,15,
R_2pRnDAFCtzZ7iXB,0.333333333,"Migrant worker cases were younger, had few medical comorbidities and less severe disease. As the migrant worker cases increased, the proportion of patients with pneumonia decreased, whilst patients presenting earlier in their illness and asymptomatic disease became more common.",1028,1,2,4,4,4,4,4,5,4,2.333333333,4,4.333333333,"Migrant worker cases were older, had lots medical comorbidities and more severe disease. As the migrant worker cases increased, the proportion of patients with pneumonia increased, whilst patients presenting earlier in their illness and asymptomatic disease became less common.","Migrant worker cases were younger, had few medical comorbidities and less severe disease. As the migrant worker cases increased, the proportion of patients with pneumonia increased, whilst patients presenting earlier in their illness and asymptomatic disease became more common.",34.76,34.76,34.76,0,0,0,13.3,13.3,13.3,17.69,17.52,17.69,17.3,17.2,17.3,11.89,11.89,11.49,16,16,15,13.25,13.25,13.25,16,16,15,14.98,14.98,14.98,12,12,18,
R_2pRnDAFCtzZ7iXB,0.333333333,"The median duration of COVID-19 was shorter in the thalidomide group compared to the control group (respectively, 11.0 vs 23.0 days). ",1094,2,1,4,4,4,2,4,4,4,2.333333333,3.333333333,4,"The median duration of COVID-19 was longer in the thalidomide group compared to the control group (respectively, 11.0 vs 23.0 days).","The true median duration of COVID-19 was not actually shorter in the thalidomide group compared to the control group as you can see here (respectively, 11.0 vs 23.0 days).",69.28,69.28,65.22,0,0,0,6.2,6.2,7.8,10.53,10.24,9.33,9.2,8.9,9,14.68,14.68,12.52,7,6,8,5.75,5.75,8.25,7,6,8,9.91,9.91,11.32,6,6,9,
R_2pRnDAFCtzZ7iXB,0.333333333,"When each vitamin D status group was considered, 69.44% of the vitamin D deficient group had severe COVID-19 and 81.82% of the severely deficient group had severe COVID-19.",1151,4,4,4,3,2,3,3,2,3,4,2.666666667,2.666666667,"When each vitamin D status group was considered, 69.44% of the severely vitamin D deficient group had severe COVID-19 and 81.82% of the deficient group had severe COVID-19.","When each vitamin D deficient status group was considered, 69.44% of the non deficient vitamin D deficient group had severe COVID-19 and 81.82% of the non-severely deficient group had severe COVID-19.",70.5,70.5,61.02,11.2,11.2,12.5,5.7,5.7,7.3,9.31,9.31,11.34,7.6,7.6,9.5,11.43,11.43,11.28,6,6,6,5.666666667,5.666666667,6.833333333,6,6,6,9.43,9.43,9.28,6,6,7,
R_2pRnDAFCtzZ7iXB,0.333333333,Early nutritional screening is therefore an important step in order to perform an adequate nutritional intervention as part of COVID-19 management.,1152,5,5,4,4,4,4,4,4,4,4.666666667,4,4,Early nutritioNo Statement herel screening is therefore a non-important step in order to perform an adequate nutritioNo Statement herel intervention as part of COVID-19 maNo Statement heregement.,Early nutritional screening is therefore an important step in order to perform an un-adequate nutritional intervention as part of COVID-19 management.,16.32,18.69,16.32,0,0,0,16.2,17.4,16.2,17.23,18.69,17.81,17.6,21.6,18.2,11.45,12.58,12.2,7,9,7,16.5,18.5,16.5,7,9,7,16.02,15.24,16.02,17,19,17,
R_2Sdw9JahxnpIfIO,0.333333333,"A substantial number of infected healthcare workers were asymptomatic 28.9%, and 35.5% were admitted to hospital. The mean length of hospital stay was 8.1 days. 70.1% of confirmed cases had been vaccinated against seasonal influenza.",1074,4,4,4,4,4,4,4,4,4,4,4,4,"A substantial number of uncontamiNo Statement hereted healthcare workers were asymptomatic (28.9%), and 35.5% were admitted to hospital.",The mean length of hospital stay was 8.1 days. 70.1% of possible cases had been vaccinated against seasonal influenza.,55.91,48.47,61.83,10.8,10.5,0,7.2,8,7,11.2,14.95,9.94,8.9,12.7,8.1,12.56,14.46,10.76,11,7,4,4.3,3.666666667,6.25,11,7,4,10.8,11.29,10.12,11,11,7,
R_2Sdw9JahxnpIfIO,0.333333333,Children with serious underlying medical conditions had a 1.79 times higher risk of severe COVID-19 than for healthy children. Children with obesity were found to be 2.87 times more likely to get severe COVID-19 than healthy children. Children with underlying conditions also had a 2.81 times higher risk of death from COVID-19 compared to healthy children.,1088,2,2,4,4,4,4,4,4,3,2.666666667,4,3.666666667,Heathy Children with serious underlying medical conditions had a 1.79 times higher risk of death from COVID-19 than obese children with severe health conditions.,Children with obesity were found to be 2.87 times less likely to get severe COVID-19 than healthy children.,70.5,59.3,87.72,9.3,0,0,5.7,8,3.3,11.28,14.49,8.96,8.6,11.7,6.6,8.89,13.44,10.22,8,6,2,4.833333333,7.5,4,8,6,2,7.29,11.47,5.82,9,8,4,
R_2Sdw9JahxnpIfIO,0.333333333,"The median duration of COVID-19 was shorter in the thalidomide group compared to the control group (respectively, 11.0 vs 23.0 days). ",1094,4,4,4,4,4,4,4,4,4,4,4,4,"The median duration of COVID-19 was shorter in the Phenothiazines group compared to the control group (respectively, 11.0 vs 23.0 days).","The median duration of COVID-19 was longer in the sick group compared to the control group (respectively, 11.0 vs 23.0 days).",69.28,60.82,77.74,0,0,0,6.2,7.4,5,10.53,11.34,8.33,9.2,9.8,7.4,14.68,14.68,13.93,7,7,5,5.75,6.25,5.75,7,7,5,9.91,11.82,9.91,6,12,5,
R_2Sdw9JahxnpIfIO,0.333333333,Patients hospitalized and in the ICU because of COVID-19 have a higher metabolism and require more calories than their non-COVID counterparts.,1153,4,4,4,4,3,4,4,4,4,4,3.666666667,4,Patients hospitalized and in the ICU because of prior health conditions and COVID-19 have a higher metabolism and require more calories than their non-COVID counterparts.,Patients hospitalized and in the ICU because of COVID-19 have a higher metabolism and require less calories than their non-COVID counterparts.,41.7,37.64,41.7,0,0,0,12.7,14.2,12.7,15.61,16.19,15.61,16.4,18.6,16.4,12.95,13.09,12.95,7,9,7,13.5,16.5,13.5,7,9,7,14.11,16.4,14.11,13,17,13,
R_2Sdw9JahxnpIfIO,0.333333333,"The COVID-19 epidemic could be controlled by alternating one or two weeks of complete lockdown with one or two months of freedom, respectively. Control strategies of this kind, where the lockdowns duration is well circumscribed, could be important also to alleviate coronavirus impact on economy.",1180,4,3,4,4,3,4,4,4,4,3.666666667,3.666666667,4,"The COVID-19 epidemic could be controlled by alterNo Statement hereting one or two weeks of complete lockdown with one or two months of partial freedom, respectively.","Control strategies of this kind, where the lockdowns duration is forced could be important also to alleviate coronavirus impact on economy.",40.18,53.55,33.24,0,0,0,13.2,12.3,13.8,14.74,13.81,15.03,16.3,17.1,16,11.42,12.82,12.2,14,8,8,15.75,16,15.5,14,8,8,16.11,15.02,16.02,16,13,16,
R_2SoR53DN4MQOqEN,0,"While molecular testing has been the primary means of diagnosing acute COVID-19 infection, blood testing is gaining importance for diagnosing minor infections or supporting the diagnosis of difficulty breathing in cases where the pathogen is no longer detectable in the upper respiratory tract.",1020,4,2,4,4,2,4,4,4,4,3.333333333,3.333333333,4,"While molecular testing has been the primary means of diagnosing acute COVID-19 infection, blood testing is gaining importance for diagnosing minor infections or supporting the diagnosis of difficulty breathing in cases where the pathogen is no longer detectable in the upper respiratory tract.","While molecular testing has been the primary means of diagnosing acute COVID-19 infection, blood testing is gaining importance for diagnosing minor infections or supporting the diagnosis of difficulty breathing in cases where the pathogen is no longer detectable in the upper respiratory tract.",10.91,10.91,10.91,0,0,0,22.4,22.4,22.4,17.19,17.19,17.19,27.7,27.7,27.7,13.85,13.85,13.85,16,16,16,32.5,32.5,32.5,16,16,16,26.5,26.5,26.5,0,0,0,1
